Wall time,Step,Value
1736672059.876069,10000,1199.4603271484375
1736672109.0951204,20000,1198.0201416015625
1736672203.3191588,30000,1201.0322265625
1736672259.3564405,40000,1202.8175048828125
1736672344.792769,50000,1202.430908203125
1736672396.3499389,60000,1201.9437255859375
1736672487.702414,70000,1201.939208984375
1736672540.9308155,80000,1199.313232421875
1736672635.0564547,90000,1199.7708740234375
1736672688.7565806,100000,1199.90771484375
1736672781.7006884,110000,1198.978271484375
1736672840.535365,120000,1201.81640625
1736672925.0747929,130000,1203.9215087890625
1736672986.1223917,140000,1201.619384765625
1736673077.7459078,150000,1201.83056640625
1736673123.620591,160000,1203.1583251953125
1736673216.821648,170000,1201.396728515625
1736673269.8835025,180000,1199.9022216796875
1736673369.4827106,190000,1202.6007080078125
1736673418.3823414,200000,1202.502197265625
1736673470.13788,210000,1200.9534912109375
1736673644.160528,220000,1200.771484375
1736673750.892456,230000,1200.771484375
1736673927.5153596,240000,1200.283935546875
1736674023.4164102,250000,1199.4320068359375
1736674199.8734019,260000,1200.795654296875
1736674300.1015668,270000,1200.4869384765625
1736674489.141387,280000,1199.69580078125
1736674575.4709904,290000,1199.5091552734375
1736674755.672824,300000,1196.615234375
1736674865.587608,310000,1200.7657470703125
1736675021.9816072,320000,1201.9561767578125
1736675078.431011,330000,1201.963134765625
1736675137.0558705,340000,1201.8099365234375
1736675240.458634,350000,1201.4510498046875
1736675298.240051,360000,1199.380859375
1736675395.9679615,370000,1199.753662109375
1736675462.516919,380000,1198.723388671875
1736675564.0056357,390000,1194.026611328125
1736675668.9893956,400000,1193.849853515625
1736675836.997319,410000,1193.626953125
1736675923.8929815,420000,1192.2908935546875
1736676075.7261417,430000,1191.0341796875
1736676169.8044872,440000,1189.3162841796875
1736676332.871862,450000,1190.5911865234375
1736676429.9502206,460000,1189.102783203125
1736676605.4509432,470000,1188.3392333984375
1736676668.7147925,480000,1188.7733154296875
1736676773.9934764,490000,1189.4224853515625
1736676841.339484,500000,1191.15087890625
1736676933.7098787,510000,1194.0552978515625
1736677022.523949,520000,1194.236328125
1736677196.654869,530000,1193.893798828125
1736677261.9874191,540000,1194.53271484375
1736677320.5394897,550000,1195.917236328125
1736677418.3716464,560000,1196.3885498046875
1736677480.0148516,570000,1196.3436279296875
1736677581.9476695,580000,1193.748291015625
1736677641.7917016,590000,1194.18359375
1736677739.2041304,600000,1193.459228515625
1736677804.4598918,610000,1194.280517578125
1736677976.9495604,620000,1196.129150390625
1736678079.238802,630000,1195.5123291015625
1736678268.1834877,640000,1194.313232421875
1736678365.9702814,650000,1194.94873046875
1736678525.2859945,660000,1192.0982666015625
1736678597.4735606,670000,1194.3948974609375
1736678702.8027232,680000,1195.1578369140625
1736678753.6058214,690000,1194.4979248046875
1736678867.1739497,700000,1194.037353515625
1736678925.7317748,710000,1193.4384765625
1736678980.91475,720000,1193.4527587890625
1736679077.830741,730000,1196.2288818359375
1736679139.5192618,740000,1196.972412109375
1736679240.0180972,750000,1197.5008544921875
1736679300.5319376,760000,1199.8033447265625
1736679398.9793556,770000,1202.897705078125
1736679465.5752497,780000,1204.6474609375
1736679559.3451989,790000,1205.7518310546875
1736679623.6110525,800000,1205.9249267578125
1736679730.6788342,810000,1204.7454833984375
1736679794.0983546,820000,1204.41162109375
1736679893.2353158,830000,1204.8189697265625
1736679953.0132809,840000,1205.956298828125
1736680061.3232834,850000,1208.50244140625
1736680142.8691986,860000,1210.6441650390625
1736680237.2331007,870000,1213.8157958984375
1736680295.858029,880000,1214.3927001953125
1736680349.713078,890000,1214.8953857421875
1736680439.8999875,900000,1214.96826171875
1736680500.465188,910000,1218.3900146484375
1736680594.6114776,920000,1214.7508544921875
1736680645.6701322,930000,1216.1435546875
1736680734.695301,940000,1218.5906982421875
1736680788.2433183,950000,1221.561767578125
1736680887.9176555,960000,1218.41943359375
1736680940.4675379,970000,1219.4962158203125
1736681029.815317,980000,1218.52880859375
1736681086.2518992,990000,1216.990478515625
1736681180.09569,1000000,1218.1170654296875
1736681235.8810098,1010000,1218.784912109375
1736681330.0903296,1020000,1223.614501953125
1736681382.905146,1030000,1222.18603515625
1736681475.1753366,1040000,1222.7838134765625
1736681539.6029532,1050000,1221.9017333984375
1736681622.7721367,1060000,1219.778076171875
1736681687.3679514,1070000,1216.6683349609375
1736681776.7302184,1080000,1216.000732421875
1736681827.7022946,1090000,1214.745849609375
1736681881.3839173,1100000,1215.638671875
1736681976.1704578,1110000,1215.336181640625
1736682030.8333862,1120000,1216.1844482421875
1736682124.596825,1130000,1217.2021484375
1736682179.226848,1140000,1216.123779296875
1736682271.52088,1150000,1214.900634765625
1736682327.7113495,1160000,1216.38232421875
1736682419.82393,1170000,1216.42529296875
1736682474.9660006,1180000,1218.1973876953125
1736682568.019405,1190000,1218.884521484375
1736682623.9465666,1200000,1217.263916015625
1736682717.0141208,1210000,1218.3724365234375
1736682771.984246,1220000,1226.22314453125
1736682867.264507,1230000,1222.815185546875
1736682922.8903115,1240000,1220.900634765625
1736683017.2345364,1250000,1220.3424072265625
1736683070.8013344,1260000,1217.0426025390625
1736683165.6704314,1270000,1217.029541015625
1736683219.48181,1280000,1214.9151611328125
1736683315.9573996,1290000,1217.432861328125
1736683369.8583539,1300000,1220.46826171875
1736683423.3096247,1310000,1219.640380859375
1736683517.0264964,1320000,1221.2510986328125
1736683573.785159,1330000,1216.21533203125
1736683667.6767519,1340000,1212.255126953125
1736683722.068998,1350000,1211.1009521484375
1736683817.7154284,1360000,1207.015380859375
1736683870.7138467,1370000,1210.447021484375
1736683963.815407,1380000,1217.070556640625
1736684020.4036746,1390000,1223.81689453125
1736684114.6407723,1400000,1222.3546142578125
1736684174.1501038,1410000,1223.064453125
1736684264.9541116,1420000,1229.7178955078125
1736684320.7393858,1430000,1233.594482421875
1736684417.5745783,1440000,1230.42724609375
1736684470.3735838,1450000,1230.226806640625
1736684565.9676757,1460000,1232.984619140625
1736684621.355766,1470000,1232.73291015625
1736684717.1981084,1480000,1230.130615234375
1736684775.7793248,1490000,1229.6722412109375
1736684868.4277134,1500000,1223.7296142578125
1736684923.8003044,1510000,1220.6839599609375
1736685019.2796388,1520000,1216.9486083984375
1736685073.233423,1530000,1215.5712890625
1736685169.2602868,1540000,1218.724609375
1736685227.519187,1550000,1221.089599609375
1736685319.1228976,1560000,1225.93017578125
1736685373.5276415,1570000,1228.6649169921875
1736685430.8342922,1580000,1229.2222900390625
1736685525.282668,1590000,1230.9276123046875
1736685584.9940174,1600000,1226.6385498046875
1736685676.2227645,1610000,1223.989501953125
1736685732.6611009,1620000,1226.902587890625
1736685825.5390027,1630000,1224.3018798828125
1736685883.919585,1640000,1221.9764404296875
1736685976.9320152,1650000,1212.4549560546875
1736686033.5033605,1660000,1212.2147216796875
1736686132.9340863,1670000,1212.295166015625
1736686189.1656501,1680000,1212.7733154296875
1736686278.798143,1690000,1211.65234375
1736686334.5254943,1700000,1215.8883056640625
1736686429.864125,1710000,1215.7996826171875
1736686486.2788324,1720000,1215.11328125
1736686581.7555096,1730000,1216.174072265625
1736686639.5015855,1740000,1215.606201171875
1736686730.4200058,1750000,1218.593994140625
1736686787.0181577,1760000,1218.9010009765625
1736686880.757505,1770000,1220.4261474609375
1736686937.9069748,1780000,1221.3079833984375
1736687032.4637294,1790000,1219.7449951171875
1736687088.9300752,1800000,1225.571533203125
1736687184.3436928,1810000,1226.9893798828125
1736687240.2140725,1820000,1222.5596923828125
1736687334.0894566,1830000,1217.2591552734375
1736687391.8406255,1840000,1208.9459228515625
1736687485.481191,1850000,1206.63134765625
1736687545.2846143,1860000,1207.62255859375
1736687601.083874,1870000,1212.348388671875
1736687694.2633512,1880000,1219.4190673828125
1736687752.1567743,1890000,1224.5302734375
1736687845.8790116,1900000,1222.0909423828125
1736687902.0835266,1910000,1226.8914794921875
1736687997.1594288,1920000,1236.40234375
1736688052.8669574,1930000,1243.4154052734375
1736688147.659379,1940000,1244.6905517578125
1736688202.9186265,1950000,1239.3974609375
1736688298.8890648,1960000,1237.1368408203125
1736688355.9893293,1970000,1234.181884765625
1736688452.1341777,1980000,1237.076416015625
1736688507.865076,1990000,1238.9072265625
1736688602.802906,2000000,1238.938720703125
1736688659.291546,2010000,1241.9847412109375
1736688753.336192,2020000,1245.0576171875
1736688809.496116,2030000,1246.3145751953125
1736688905.6457777,2040000,1251.6068115234375
1736688962.123838,2050000,1249.5113525390625
1736689056.867026,2060000,1245.81591796875
1736689118.3641124,2070000,1241.959716796875
1736689210.9477446,2080000,1241.7359619140625
1736689266.8208983,2090000,1242.226806640625
1736689362.8545094,2100000,1245.5899658203125
1736689421.2041225,2110000,1242.0809326171875
1736689478.6020815,2120000,1237.2506103515625
1736689572.8193648,2130000,1228.3304443359375
1736689628.3625517,2140000,1228.6392822265625
1736689723.1432118,2150000,1231.8243408203125
1736689781.1464982,2160000,1237.94287109375
1736689876.3189535,2170000,1239.2706298828125
1736689933.783782,2180000,1232.328369140625
1736690029.6657724,2190000,1229.1605224609375
1736690085.2126143,2200000,1232.1856689453125
1736690179.319629,2210000,1228.45458984375
1736690236.357679,2220000,1229.4696044921875
1736690332.8900492,2230000,1235.6636962890625
1736690389.4248478,2240000,1227.7049560546875
1736690491.8876433,2250000,1221.776611328125
1736690546.666174,2260000,1218.554931640625
1736690642.7261708,2270000,1216.4229736328125
1736690699.7412825,2280000,1218.3167724609375
1736690793.828591,2290000,1217.201416015625
1736690854.108136,2300000,1214.66357421875
1736690944.5173695,2310000,1211.8167724609375
1736691004.8347154,2320000,1213.5648193359375
1736691098.4276092,2330000,1207.24267578125
1736691154.0889306,2340000,1206.0394287109375
1736691249.4102364,2350000,1209.836181640625
1736691305.0492136,2360000,1211.932861328125
1736691400.2636666,2370000,1215.6541748046875
1736691458.7983117,2380000,1222.279296875
1736691553.4241343,2390000,1223.3402099609375
1736691609.1061852,2400000,1228.7216796875
1736691703.6642108,2410000,1228.4779052734375
1736691760.533968,2420000,1231.312255859375
1736691856.1262932,2430000,1233.8074951171875
1736691916.667672,2440000,1231.5997314453125
1736691972.236289,2450000,1231.0137939453125
1736692070.8747644,2460000,1233.1888427734375
1736692125.9271173,2470000,1231.45947265625
1736692220.186398,2480000,1231.0382080078125
1736692276.7203536,2490000,1230.1512451171875
1736692370.9991672,2500000,1231.6422119140625
1736692432.6806607,2510000,1226.001708984375
1736692524.9351094,2520000,1221.6898193359375
1736692579.7200239,2530000,1222.1607666015625
1736692677.2563057,2540000,1224.5465087890625
1736692733.4388666,2550000,1217.602783203125
1736692828.5824425,2560000,1214.5301513671875
1736692886.745078,2570000,1216.26123046875
1736692982.4473596,2580000,1218.1993408203125
1736693037.817823,2590000,1225.1527099609375
1736693133.931423,2600000,1235.2012939453125
1736693191.020035,2610000,1232.2305908203125
1736693286.8287046,2620000,1224.185546875
1736693342.1937428,2630000,1225.3397216796875
1736693438.6486702,2640000,1225.6322021484375
1736693494.54993,2650000,1233.4072265625
1736693591.015083,2660000,1238.63916015625
1736693647.2461376,2670000,1238.3812255859375
1736693743.183445,2680000,1238.111328125
1736693800.95009,2690000,1237.712890625
1736693896.332718,2700000,1244.0218505859375
1736693955.1193848,2710000,1250.5850830078125
1736694050.1381888,2720000,1256.704833984375
1736694107.2364328,2730000,1252.74658203125
1736694202.3678982,2740000,1245.958984375
1736694259.079934,2750000,1238.5902099609375
1736694359.3993118,2760000,1245.1845703125
1736694415.7114763,2770000,1240.8433837890625
1736694512.0273845,2780000,1245.884521484375
1736694563.3534267,2790000,1251.0211181640625
1736694621.6329288,2800000,1252.805419921875
1736694717.6507328,2810000,1248.8511962890625
1736694773.1701922,2820000,1242.82666015625
1736694871.057983,2830000,1238.3297119140625
1736694925.7706153,2840000,1232.833740234375
1736695021.3313534,2850000,1235.9283447265625
1736695081.774781,2860000,1243.1077880859375
1736695176.1847117,2870000,1244.7020263671875
1736695232.0730948,2880000,1244.8968505859375
1736695327.3203137,2890000,1243.8349609375
1736695383.9138787,2900000,1247.301513671875
1736695481.2202566,2910000,1259.3753662109375
1736695538.342424,2920000,1263.5
1736695633.6244206,2930000,1264.45458984375
1736695691.6548102,2940000,1260.8502197265625
1736695785.7351825,2950000,1256.1343994140625
1736695843.286367,2960000,1258.5714111328125
1736695940.2437878,2970000,1257.932373046875
1736695995.8505068,2980000,1259.0855712890625
1736696092.1446912,2990000,1259.932861328125
1736696149.0210752,3000000,1256.9173583984375
1736696246.7552373,3010000,1257.484130859375
1736696303.1205807,3020000,1253.630615234375
1736696400.0970452,3030000,1247.2354736328125
1736696457.8409328,3040000,1249.3468017578125
1736696552.678014,3050000,1249.1490478515625
1736696611.8868685,3060000,1246.841552734375
1736696705.8847735,3070000,1255.220703125
1736696761.4203281,3080000,1252.662353515625
1736696858.525655,3090000,1251.03076171875
1736696915.3806167,3100000,1256.8087158203125
1736696972.7390113,3110000,1258.7740478515625
1736697069.0101051,3120000,1262.6727294921875
