Timestamp,CPU_Usage,Memory_Usage
1/15/2025 16:50,0,26.8
1/15/2025 16:52,6.1,24.5
1/15/2025 16:54,6.9,24.5
1/15/2025 16:56,6.7,24.1
1/15/2025 16:58,6.6,24
1/15/2025 17:00,6.6,24.2
1/15/2025 17:02,7.8,24.4
1/15/2025 17:04,7.2,25
1/15/2025 17:06,7.2,26.3
1/15/2025 17:08,7,25.3
1/15/2025 17:10,6.6,24.5
1/15/2025 17:12,6.6,24.7
1/15/2025 17:14,6.5,24.7
1/15/2025 17:16,6.6,24.6
1/15/2025 17:18,6.6,24.6
1/15/2025 17:20,6.6,24.6
1/15/2025 17:22,6.6,23.4
1/15/2025 17:24,6.5,25.9
1/15/2025 17:26,6.6,26
1/15/2025 17:28,6.6,26.2
1/15/2025 17:30,6.6,26
1/15/2025 17:32,6.6,26.1
1/15/2025 17:34,6.5,26.2
1/15/2025 17:36,6.6,26.1
1/15/2025 17:38,6.6,26.2
1/15/2025 17:40,6.6,26.4
1/15/2025 17:42,6.5,26.5
1/15/2025 17:44,6.6,26.6
1/15/2025 17:46,6.6,26.4
1/15/2025 17:48,6.5,26.6
1/15/2025 17:50,6.6,26.2
1/15/2025 17:52,6.5,26.2
1/15/2025 17:54,6.6,26.2
1/15/2025 17:56,6.7,25.8
1/15/2025 17:58,6.7,25.7
1/15/2025 18:00,6.6,25.6
1/15/2025 18:02,6.5,25.6
1/15/2025 18:04,6.8,25.9
1/15/2025 18:06,6.6,25.9
1/15/2025 18:08,6.5,25.9
1/15/2025 18:10,6.5,25.5
1/15/2025 18:12,6.6,25.4
1/15/2025 18:14,6.6,25.3
1/15/2025 18:16,6.6,25.3
1/15/2025 18:18,6.5,25.2
1/15/2025 18:20,6.5,25.3
1/15/2025 18:22,6.6,24.1
1/15/2025 18:24,6.6,23
1/15/2025 18:26,6.7,25.2
1/15/2025 18:28,5.3,20.6

