Wall time,Step,Value
1736710254.4997337,10000,1201.4595947265625
1736710355.9667408,20000,1202.967041015625
1736710521.086396,30000,1202.145751953125
1736710625.8667808,40000,1204.5960693359375
1736710796.6773965,50000,1203.776611328125
1736710904.8475978,60000,1204.7044677734375
1736711062.1546056,70000,1204.7271728515625
1736711161.0755286,80000,1203.747314453125
1736711341.9755952,90000,1203.906005859375
1736711427.6326427,100000,1204.10302734375
1736711592.6314235,110000,1204.010498046875
1736711702.338384,120000,1204.15380859375
1736711869.2809505,130000,1205.3109130859375
1736711978.8009748,140000,1207.510498046875
1736712136.6401792,150000,1209.90478515625
1736712243.5872812,160000,1209.7767333984375
1736712400.7464566,170000,1210.876708984375
1736712504.8270924,180000,1212.6898193359375
1736712608.9508164,190000,1215.684326171875
1736712777.1563559,200000,1219.03955078125
1736712879.6735682,210000,1220.459228515625
1736713037.8931773,220000,1217.9720458984375
1736713141.7505336,230000,1217.7728271484375
1736713307.1909962,240000,1218.077880859375
1736713415.1110895,250000,1217.4971923828125
1736713577.9534407,260000,1218.316650390625
1736713683.643917,270000,1219.552490234375
1736713845.212726,280000,1220.315673828125
1736713950.777498,290000,1220.2542724609375
1736714114.3101115,300000,1219.4361572265625
1736714219.6597028,310000,1218.4443359375
1736714384.4486084,320000,1217.68359375
1736714487.8235798,330000,1219.3223876953125
1736714662.2061257,340000,1219.6004638671875
1736714770.0191164,350000,1219.4984130859375
1736714922.9150696,360000,1220.9097900390625
1736715036.52917,370000,1220.7244873046875
1736715144.2965522,380000,1219.3470458984375
1736715294.4580626,390000,1220.4373779296875
1736715400.8587766,400000,1220.193603515625
1736715565.1975396,410000,1219.2269287109375
1736715683.22991,420000,1223.484375
1736715845.2774127,430000,1224.713623046875
1736715943.386081,440000,1224.8126220703125
1736716109.9941924,450000,1225.5535888671875
1736716214.2730572,460000,1230.2047119140625
1736716382.0346627,470000,1232.9825439453125
1736716488.8809698,480000,1232.5657958984375
1736716650.6605403,490000,1234.1136474609375
1736716760.6888669,500000,1234.79150390625
1736716920.049299,510000,1232.6602783203125
1736717037.6545494,520000,1231.171875
1736717208.985684,530000,1232.335693359375
1736717298.1356351,540000,1234.0626220703125
1736717406.319639,550000,1235.4139404296875
1736717584.3870134,560000,1236.6776123046875
1736717677.99798,570000,1239.64501953125
1736717857.8423579,580000,1241.2454833984375
1736717947.2909415,590000,1243.3636474609375
1736718117.9627779,600000,1242.69091796875
1736718221.600577,610000,1240.3182373046875
1736718389.3794878,620000,1240.9654541015625
1736718493.794817,630000,1238.208740234375
1736718657.6414812,640000,1234.1392822265625
1736718765.664067,650000,1237.106201171875
1736718936.289649,660000,1237.4957275390625
1736719040.7745848,670000,1238.562744140625
1736719200.509751,680000,1237.1383056640625
1736719305.5271285,690000,1235.6851806640625
1736719470.3158138,700000,1236.19677734375
1736719574.901053,710000,1236.78857421875
1736719689.9086204,720000,1237.227783203125
1736719845.833316,730000,1234.6973876953125
1736719961.661699,740000,1234.3438720703125
1736720130.5728812,750000,1234.7025146484375
1736720231.751449,760000,1233.3372802734375
1736720403.3881116,770000,1233.822509765625
1736720498.8239174,780000,1231.9642333984375
1736720677.355135,790000,1231.772216796875
1736720774.1226807,800000,1233.0411376953125
1736720933.6395051,810000,1232.0750732421875
1736721040.8693082,820000,1229.83154296875
1736721200.3385556,830000,1230.788818359375
1736721323.689162,840000,1231.878662109375
1736721471.00157,850000,1232.8157958984375
1736721578.5029905,860000,1231.84619140625
1736721746.0056145,870000,1230.943603515625
1736721847.6623852,880000,1229.0313720703125
1736722020.7416956,890000,1228.9710693359375
1736722122.1861742,900000,1230.6026611328125
1736722235.1819458,910000,1233.80419921875
1736722397.609229,920000,1234.7012939453125
1736722513.2738764,930000,1237.278564453125
1736722674.0113702,940000,1237.398193359375
1736722777.7714972,950000,1238.8382568359375
1736722949.5923762,960000,1240.1668701171875
1736723038.7819235,970000,1240.1512451171875
1736723209.3736246,980000,1240.82861328125
1736723326.637305,990000,1239.1787109375
1736723475.5803592,1000000,1238.4190673828125
1736723583.380207,1010000,1237.8973388671875
1736723753.4093812,1020000,1237.5994873046875
1736723860.2284396,1030000,1238.856689453125
1736724027.3074887,1040000,1240.86083984375
1736724129.6466103,1050000,1243.4564208984375
1736724241.466148,1060000,1244.2921142578125
1736724402.3868015,1070000,1244.3153076171875
1736724510.686568,1080000,1241.5465087890625
1736724673.012576,1090000,1241.6328125
1736724782.163513,1100000,1243.38818359375
1736724957.9538767,1110000,1244.1925048828125
1736725059.6521716,1120000,1244.6544189453125
1736725225.3783417,1130000,1245.6192626953125
1736725326.7504325,1140000,1242.3404541015625
1736725490.8505442,1150000,1242.5238037109375
1736725594.533826,1160000,1248.3402099609375
1736725769.3149717,1170000,1249.90576171875
1736725868.4760911,1180000,1249.9246826171875
1736726036.5958045,1190000,1247.0218505859375
1736726140.3926632,1200000,1245.7913818359375
1736726251.8614957,1210000,1245.0567626953125
1736726411.1631122,1220000,1243.63427734375
1736726517.14873,1230000,1241.9908447265625
1736726683.887894,1240000,1236.77783203125
1736726790.1097546,1250000,1236.8218994140625
1736726961.1228309,1260000,1236.78759765625
1736727064.672504,1270000,1239.2469482421875
1736727240.8507488,1280000,1240.3095703125
1736727337.5389192,1290000,1240.0826416015625
1736727503.9378972,1300000,1235.5567626953125
1736727610.046709,1310000,1234.4951171875
1736727774.1099124,1320000,1237.79296875
1736727879.5286202,1330000,1240.104736328125
1736728048.134077,1340000,1241.388671875
1736728157.7820988,1350000,1244.9398193359375
1736728333.1488016,1360000,1246.965576171875
1736728434.115388,1370000,1246.20068359375
1736728534.0774927,1380000,1244.73388671875
1736728711.2327678,1390000,1246.444580078125
1736728801.3783507,1400000,1246.148193359375
1736728977.8450177,1410000,1248.603515625
1736729079.2975366,1420000,1250.45654296875
1736729241.855499,1430000,1251.9085693359375
1736729345.6112611,1440000,1248.2137451171875
1736729524.5901709,1450000,1247.7857666015625
1736729621.7201252,1460000,1247.3531494140625
1736729800.6821532,1470000,1243.539306640625
1736729890.6847222,1480000,1250.017578125
1736730062.3188295,1490000,1255.1749267578125
1736730165.093171,1500000,1255.41162109375
1736730331.8615136,1510000,1259.4925537109375
1736730442.00122,1520000,1263.9163818359375
1736730610.3411274,1530000,1263.3955078125
1736730711.032813,1540000,1264.7607421875
1736730817.2246232,1550000,1269.0457763671875
1736730982.9736931,1560000,1270.3760986328125
1736731089.3028228,1570000,1269.48291015625
1736731263.9614346,1580000,1267.3118896484375
1736731360.4978468,1590000,1267.5146484375
1736731530.4755712,1600000,1261.1046142578125
1736731636.8013418,1610000,1259.8243408203125
1736731803.0078826,1620000,1259.3760986328125
1736731909.3992643,1630000,1261.3836669921875
1736732086.335886,1640000,1259.59814453125
1736732185.5766518,1650000,1261.6905517578125
1736732348.3660004,1660000,1262.6812744140625
1736732455.0979981,1670000,1263.26513671875
1736732623.4515793,1680000,1268.896484375
1736732726.4295132,1690000,1272.12109375
1736732899.9081979,1700000,1274.5341796875
1736733000.514966,1710000,1280.1829833984375
1736733169.3480542,1720000,1275.3997802734375
1736733274.5778818,1730000,1280.1136474609375
1736733442.2563906,1740000,1282.4083251953125
1736733548.3393445,1750000,1288.726806640625
1736733653.3784416,1760000,1285.2344970703125
1736733822.8966677,1770000,1287.2098388671875
1736733929.4675257,1780000,1290.682373046875
1736734089.722847,1790000,1289.758544921875
1736734207.5811613,1800000,1292.672607421875
1736734361.2814152,1810000,1294.4342041015625
1736734466.8692675,1820000,1295.4305419921875
1736734632.4424577,1830000,1296.0848388671875
1736734739.2374542,1840000,1297.5155029296875
1736734911.5355468,1850000,1294.9178466796875
1736735011.4129007,1860000,1293.4801025390625
1736735180.035119,1870000,1290.6025390625
1736735285.2581346,1880000,1286.272705078125
1736735449.5673716,1890000,1288.7147216796875
1736735556.5440547,1900000,1283.17529296875
1736735719.901882,1910000,1281.365234375
1736735826.0987964,1920000,1277.2374267578125
1736735992.1674185,1930000,1276.0072021484375
1736736100.2780592,1940000,1280.15380859375
1736736263.6296973,1950000,1281.79931640625
1736736375.8968792,1960000,1279.1163330078125
1736736538.8902392,1970000,1276.6219482421875
1736736638.6171885,1980000,1275.7437744140625
1736736807.49425,1990000,1279.917724609375
1736736912.317381,2000000,1284.5242919921875
1736737017.4542315,2010000,1286.8154296875
1736737185.2426243,2020000,1290.589599609375
1736737288.9075878,2030000,1287.5343017578125
1736737462.706369,2040000,1290.2642822265625
1736737561.0097134,2050000,1290.568115234375
1736737742.957314,2060000,1288.71142578125
1736737832.1100276,2070000,1288.5057373046875
1736738001.839425,2080000,1289.552001953125
1736738109.6489594,2090000,1294.759521484375
1736738281.158941,2100000,1299.9864501953125
1736738382.9581547,2110000,1300.969970703125
1736738554.0235467,2120000,1298.1534423828125
1736738653.5425255,2130000,1301.8453369140625
1736738822.9625185,2140000,1298.6904296875
1736738925.556486,2150000,1298.12109375
1736739090.6815813,2160000,1306.096435546875
1736739199.7855465,2170000,1307.2481689453125
1736739364.5318596,2180000,1299.9169921875
1736739467.7115405,2190000,1295.638671875
1736739634.0041206,2200000,1297.714111328125
1736739740.1134434,2210000,1303.142822265625
1736739905.3717268,2220000,1306.7786865234375
1736740015.1119459,2230000,1303.0841064453125
1736740176.6035562,2240000,1303.330078125
1736740283.2030904,2250000,1300.8717041015625
1736740461.7735267,2260000,1298.3394775390625
1736740555.2567613,2270000,1294.4979248046875
1736740657.8141649,2280000,1293.2998046875
1736740824.9778712,2290000,1290.6170654296875
1736740930.045913,2300000,1292.365234375
1736741099.9757707,2310000,1294.042236328125
1736741204.811615,2320000,1293.6962890625
1736741367.0576105,2330000,1294.7320556640625
1736741473.3320432,2340000,1295.7061767578125
1736741638.3779457,2350000,1293.4248046875
1736741743.886576,2360000,1290.6455078125
1736741911.6397939,2370000,1292.6497802734375
1736742018.0122485,2380000,1295.28125
1736742181.697545,2390000,1297.8167724609375
1736742287.0868876,2400000,1291.612060546875
1736742454.4560938,2410000,1293.5845947265625
1736742561.468,2420000,1296.0130615234375
1736742722.7543123,2430000,1303.349853515625
1736742830.7095728,2440000,1305.061279296875
1736743000.9723341,2450000,1306.885498046875
1736743112.9487302,2460000,1305.533203125
1736743273.2956707,2470000,1298.020751953125
1736743379.1902914,2480000,1299.3804931640625
1736743544.4077265,2490000,1302.1571044921875
1736743650.0941255,2500000,1304.030029296875
1736743818.1869664,2510000,1305.9888916015625
1736743923.8870637,2520000,1307.218994140625
1736744096.590422,2530000,1309.3394775390625
1736744196.1555254,2540000,1313.271484375
1736744363.8001146,2550000,1315.8548583984375
1736744466.0214083,2560000,1311.6884765625
1736744577.7882445,2570000,1312.2330322265625
1736744735.4582767,2580000,1311.1129150390625
1736744845.2094703,2590000,1305.6661376953125
1736745013.0676625,2600000,1307.3607177734375
1736745114.1389408,2610000,1313.1632080078125
1736745279.8134394,2620000,1314.2880859375
1736745385.7036781,2630000,1315.0506591796875
1736745556.3552635,2640000,1319.2232666015625
1736745657.44485,2650000,1316.156494140625
1736745828.9384947,2660000,1313.5179443359375
1736745936.7208385,2670000,1312.697998046875
1736746101.9981673,2680000,1309.0335693359375
1736746203.1456335,2690000,1304.6864013671875
1736746366.6094456,2700000,1309.06103515625
1736746475.8171961,2710000,1307.4063720703125
1736746644.857115,2720000,1311.220947265625
1736746744.7790387,2730000,1313.5770263671875
1736746910.2495832,2740000,1315.96923828125
1736747016.8263311,2750000,1315.0994873046875
1736747181.719007,2760000,1313.213623046875
1736747288.3129685,2770000,1323.4598388671875
1736747454.3362052,2780000,1327.8243408203125
1736747562.4039028,2790000,1325.5225830078125
1736747725.195566,2800000,1316.07080078125
1736747832.839137,2810000,1312.054443359375
1736747998.2840896,2820000,1306.98388671875
1736748104.3404794,2830000,1309.489990234375
1736748211.2714646,2840000,1312.0902099609375
1736748377.9552722,2850000,1325.704833984375
1736748484.7864995,2860000,1329.5325927734375
1736748653.7671578,2870000,1329.275146484375
1736748756.5979617,2880000,1323.218994140625
1736748921.3262315,2890000,1323.262939453125
1736749029.3351073,2900000,1326.4512939453125
1736749195.620465,2910000,1323.288330078125
1736749302.305783,2920000,1314.71337890625
1736749472.1720958,2930000,1311.7646484375
1736749575.6378515,2940000,1314.80908203125
1736749740.4786305,2950000,1314.175537109375
1736749850.7308795,2960000,1314.260009765625
1736750016.0280979,2970000,1322.2369384765625
1736750123.59354,2980000,1324.863037109375
1736750288.663527,2990000,1323.456298828125
1736750390.8766303,3000000,1326.852783203125
1736750565.3607302,3010000,1328.049072265625
1736750666.30501,3020000,1330.041259765625
1736750831.5835662,3030000,1324.0762939453125
1736750936.907902,3040000,1320.4366455078125
1736751102.677856,3050000,1321.81884765625
1736751215.9776385,3060000,1316.3831787109375
1736751379.779853,3070000,1314.364013671875
1736751479.914788,3080000,1314.7216796875
1736751648.0107274,3090000,1319.9925537109375
1736751751.7236133,3100000,1320.7205810546875
1736751924.1489837,3110000,1315.2730712890625
1736752034.6116138,3120000,1308.18115234375
1736752202.8777637,3130000,1310.67919921875
1736752307.574659,3140000,1312.245849609375
1736752414.6087196,3150000,1307.784912109375
1736752578.83139,3160000,1305.02978515625
1736752687.9333732,3170000,1301.3128662109375
1736752856.7328706,3180000,1301.1715087890625
1736752960.4894633,3190000,1308.6314697265625
1736753126.2207756,3200000,1306.8961181640625
1736753231.7989788,3210000,1304.8741455078125
1736753399.5517945,3220000,1298.2103271484375
1736753503.8432987,3230000,1308.0712890625
1736753669.9451945,3240000,1304.9432373046875
1736753777.8251958,3250000,1300.3116455078125
1736753942.4424982,3260000,1298.625
1736754049.432102,3270000,1298.323974609375
1736754215.0926483,3280000,1289.7305908203125
1736754322.2768548,3290000,1287.8834228515625
1736754487.721308,3300000,1291.0150146484375
1736754603.5230055,3310000,1293.817626953125
1736754764.920426,3320000,1300.1673583984375
1736754867.2641196,3330000,1303.94970703125
1736755034.445948,3340000,1302.202880859375
1736755140.1303015,3350000,1305.2593994140625
1736755307.4440393,3360000,1305.191650390625
1736755412.7712247,3370000,1301.77099609375
1736755579.7060404,3380000,1302.2174072265625
1736755688.2159693,3390000,1302.7142333984375
1736755852.1105332,3400000,1307.021484375
1736755957.276598,3410000,1303.7564697265625
1736756122.8037505,3420000,1310.064697265625
1736756230.5339046,3430000,1314.377197265625
1736756336.3127806,3440000,1314.6219482421875
1736756500.440354,3450000,1316.4490966796875
1736756606.6636958,3460000,1321.8594970703125
1736756774.338478,3470000,1323.14404296875
1736756879.0314827,3480000,1321.246337890625
1736757047.3464768,3490000,1319.2271728515625
1736757165.2130957,3500000,1315.8685302734375
1736757320.7664928,3510000,1309.63232421875
1736757425.735847,3520000,1316.5950927734375
1736757593.3492594,3530000,1313.0723876953125
1736757702.4501286,3540000,1312.5703125
1736757866.4866796,3550000,1314.4251708984375
1736757975.7417443,3560000,1314.6739501953125
1736758141.4777167,3570000,1315.610107421875
1736758246.280289,3580000,1317.6556396484375
1736758411.886595,3590000,1326.23828125
