Wall time,Step,Value
1736640582.683944,10000,1198.774169921875
1736640626.3813694,20000,1200.022216796875
1736640699.1613371,30000,1198.440185546875
1736640745.1179955,40000,1196.8065185546875
1736640811.578818,50000,1195.7598876953125
1736640863.444745,60000,1194.467041015625
1736640924.7176023,70000,1194.552978515625
1736640971.133582,80000,1194.2576904296875
1736641042.605633,90000,1194.9124755859375
1736641090.583263,100000,1194.5679931640625
1736641153.3907917,110000,1194.646240234375
1736641201.762172,120000,1194.2427978515625
1736641269.0690827,130000,1193.5963134765625
1736641312.1861253,140000,1193.86962890625
1736641384.500485,150000,1194.317138671875
1736641429.1149952,160000,1194.888671875
1736641472.112628,170000,1195.069091796875
1736641537.7806556,180000,1196.728271484375
1736641588.4698327,190000,1195.5810546875
1736641650.5709023,200000,1195.5308837890625
1736641700.100015,210000,1191.9837646484375
1736641768.4955325,220000,1190.9583740234375
1736641813.1423454,230000,1190.873046875
1736641876.989352,240000,1190.1844482421875
1736641924.7789052,250000,1187.42529296875
1736641996.0389295,260000,1186.538818359375
1736642035.4984927,270000,1186.1514892578125
1736642103.759621,280000,1188.220703125
1736642151.8152425,290000,1189.884033203125
1736642218.9349492,300000,1190.2593994140625
1736642262.0044284,310000,1190.3079833984375
1736642329.3936172,320000,1189.814453125
1736642374.153729,330000,1187.7784423828125
1736642446.282041,340000,1187.6986083984375
1736642489.5429966,350000,1189.64794921875
1736642535.0019343,360000,1195.54736328125
1736642604.7481196,370000,1194.8460693359375
1736642650.4164085,380000,1194.0406494140625
1736642723.8641987,390000,1194.0018310546875
1736642762.3508067,400000,1193.349365234375
1736642833.9322479,410000,1194.18505859375
1736642880.6876175,420000,1194.6837158203125
1736642944.9817975,430000,1195.5775146484375
1736642998.1118891,440000,1195.8084716796875
1736643063.212883,450000,1196.5634765625
1736643112.2904701,460000,1196.094482421875
1736643179.8257506,470000,1197.5841064453125
1736643230.7386472,480000,1200.6519775390625
1736643297.4168448,490000,1201.6051025390625
1736643342.3489244,500000,1202.350341796875
1736643388.7078338,510000,1201.77294921875
1736643457.2955537,520000,1200.06787109375
1736643505.8440166,530000,1202.552734375
1736643567.9636018,540000,1205.847412109375
1736643613.974712,550000,1201.1990966796875
1736643682.1520765,560000,1201.845458984375
1736643728.198833,570000,1205.0450439453125
1736643803.600795,580000,1206.5047607421875
1736643846.602267,590000,1207.097412109375
1736643916.0066328,600000,1208.2723388671875
1736643959.680299,610000,1208.9420166015625
1736644035.1439793,620000,1208.0615234375
1736644077.4137363,630000,1209.855712890625
1736644141.0341003,640000,1209.1190185546875
1736644189.485489,650000,1208.3980712890625
1736644236.4184687,660000,1207.1917724609375
1736644304.180309,670000,1207.415771484375
1736644349.2132876,680000,1206.32373046875
1736644422.132489,690000,1205.202880859375
1736644461.0394058,700000,1204.2655029296875
1736644528.8027015,710000,1203.8677978515625
1736644577.1807969,720000,1205.9658203125
1736644643.2644749,730000,1205.57958984375
1736644693.1715944,740000,1206.669677734375
1736644757.5186758,750000,1207.521240234375
1736644803.1612222,760000,1206.5706787109375
1736644873.941938,770000,1204.38623046875
1736644918.3588738,780000,1206.6494140625
1736644992.7397115,790000,1210.2000732421875
1736645031.5786142,800000,1208.3668212890625
1736645107.8529294,810000,1207.8411865234375
1736645153.395863,820000,1208.5257568359375
1736645220.4015095,830000,1208.6060791015625
1736645261.3692741,840000,1207.73486328125
1736645306.22143,850000,1205.8826904296875
1736645376.3955846,860000,1207.257568359375
1736645423.7664664,870000,1208.8006591796875
1736645487.9587703,880000,1207.8214111328125
1736645534.1429503,890000,1203.5968017578125
1736645608.0644555,900000,1202.8857421875
1736645650.7615685,910000,1203.13427734375
1736645716.1075509,920000,1201.698974609375
1736645759.8149714,930000,1200.30810546875
1736645827.221118,940000,1200.30126953125
1736645871.5875206,950000,1202.0989990234375
1736645945.165639,960000,1204.641845703125
1736645985.107913,970000,1203.796630859375
1736646058.3917723,980000,1204.8507080078125
1736646099.646639,990000,1206.871337890625
1736646167.2774634,1000000,1208.8310546875
1736646214.5880911,1010000,1209.99609375
1736646282.8586843,1020000,1210.086181640625
1736646328.081935,1030000,1209.4864501953125
1736646396.3594952,1040000,1213.79150390625
1736646442.3133504,1050000,1213.5562744140625
1736646518.583355,1060000,1214.366455078125
1736646557.4680343,1070000,1218.6307373046875
1736646607.5469623,1080000,1224.5048828125
1736646676.1032383,1090000,1225.9578857421875
1736646718.0791683,1100000,1222.516845703125
1736646789.4024289,1110000,1220.2890625
1736646838.9207568,1120000,1220.2890625
1736646901.4936025,1130000,1222.0718994140625
1736646946.7828662,1140000,1224.3125
1736647020.542857,1150000,1224.544921875
1736647062.3701534,1160000,1225.473876953125
1736647134.405799,1170000,1223.929931640625
1736647175.6179116,1180000,1222.3309326171875
1736647246.5772765,1190000,1221.9390869140625
1736647288.4297693,1200000,1220.8140869140625
1736647361.7147763,1210000,1222.8045654296875
1736647403.3292618,1220000,1225.14892578125
1736647479.6755877,1230000,1227.5076904296875
1736647518.7281199,1240000,1228.9007568359375
1736647589.4657946,1250000,1228.2318115234375
1736647633.3857183,1260000,1225.8203125
1736647680.1305223,1270000,1222.2801513671875
1736647746.22621,1280000,1222.3262939453125
1736647795.21937,1290000,1221.1689453125
1736647863.2182207,1300000,1220.916748046875
1736647906.914369,1310000,1223.1300048828125
1736647975.3455913,1320000,1219.47265625
1736648024.909688,1330000,1218.6614990234375
1736648092.582479,1340000,1216.3427734375
1736648136.986262,1350000,1213.3724365234375
1736648205.1301918,1360000,1211.0943603515625
1736648250.984527,1370000,1209.462646484375
1736648319.3487704,1380000,1211.7821044921875
1736648367.060064,1390000,1210.09033203125
1736648436.8837073,1400000,1210.7230224609375
1736648481.7412124,1410000,1213.7147216796875
1736648553.8611503,1420000,1214.2257080078125
1736648603.3788602,1430000,1215.4521484375
