Timestamp,CPU_Usage,Memory_Usage
2025-01-11 07:06:57,0.0,43.4
2025-01-11 07:26:57,14.2,44.8
2025-01-11 07:46:57,15.3,44.9
2025-01-11 08:06:57,14.3,45.1
2025-01-11 08:26:57,14.6,45.2
2025-01-11 08:46:57,14.4,45.6
2025-01-11 09:06:57,14.0,45.5
2025-01-11 09:26:57,14.1,45.5
2025-01-11 09:46:57,14.1,45.6
2025-01-11 10:06:57,14.4,45.8
2025-01-11 10:26:57,14.4,45.9
2025-01-11 10:46:57,14.0,45.8
2025-01-11 11:06:57,14.0,46.0
2025-01-11 11:26:57,14.1,46.0
2025-01-11 11:46:57,14.3,45.9
2025-01-11 12:06:57,14.9,46.5
2025-01-11 12:26:57,14.2,46.4
2025-01-11 12:46:57,14.1,46.1
2025-01-11 13:06:57,14.6,46.7
2025-01-11 13:26:57,14.5,46.5
2025-01-11 13:46:57,17.9,43.6
2025-01-11 14:06:57,14.5,43.8
2025-01-11 14:26:57,14.0,43.6
2025-01-11 14:46:57,13.9,43.5
2025-01-11 15:06:57,14.9,44.1
2025-01-11 15:26:57,14.4,44.0
2025-01-11 15:46:57,14.4,43.9
2025-01-11 16:06:57,14.1,44.4
2025-01-11 16:26:57,14.0,44.5
2025-01-11 16:46:57,14.0,43.8
2025-01-11 17:06:57,14.2,45.0
2025-01-11 17:26:57,14.4,45.1
2025-01-11 17:46:57,14.0,43.8
2025-01-11 18:06:57,14.0,44.0
2025-01-11 18:26:57,14.0,44.2
2025-01-11 18:46:57,14.1,45.4
2025-01-11 19:06:57,14.3,44.9
2025-01-11 19:26:57,14.5,44.4
2025-01-11 19:46:57,14.0,44.5
2025-01-11 20:06:57,13.9,44.6
2025-01-11 20:26:57,19.1,59.9
2025-01-11 20:46:57,18.2,53.6
2025-01-11 21:06:57,18.8,53.6
2025-01-11 21:26:57,18.1,53.8
2025-01-11 21:46:57,16.1,51.0
2025-01-11 22:06:57,17.0,51.5
2025-01-11 22:26:57,15.5,44.2
2025-01-11 22:46:57,19.5,56.6
2025-01-11 23:06:57,15.3,52.2
2025-01-11 23:26:57,16.7,54.8
2025-01-11 23:46:57,17.8,53.2
2025-01-12 00:06:57,13.1,53.7
2025-01-12 00:26:57,15.0,51.4
2025-01-12 00:46:57,17.9,53.5
2025-01-12 01:06:57,15.7,52.7
2025-01-12 01:26:57,15.2,52.2
2025-01-12 01:46:57,14.0,50.3
